#=================================================================
#Magnetic confinenment device's physical parameters
#-----------------------------------------------------------------
#  Device: Rijnhuizen Tokamak Project (RTP)
#  Field Strength B: 2.3 T
#  Ionization Energy E_ion: 13.6 eV
#  Background neutrals density: 1.00e+02 cm^-3
#  Minimum electron density: 6.95e+12 cm^-3
#  Maximum electron density: 5.38e+13 cm^-3
#  Minimum electron temperature: 38.5 eV
#  Maximum electron temperature: 507.5 eV
#  Electron density delta: 4.68e+13 cm^-3
#  Electron temperature delta: 469.0 eV
#  Device minor radius: 16.0 cm
#  Peak power deposition per unit volumen: 6.00e+18 eV cm^-3 s^-1
#  Power profile variance: 1.12 cm
#  Power profile mean radius 0.1 (adim)
#  Coulomb logararithm 17.5 (adim)
#  h constant 4.64e-12  eV^(1/2) cm^5 s^-1
#  wb constant 1.30e+07 eV
#  Characteristic electron density decay scale: 0.001 (adim)
#  Characteristic electron temperature decay scale: 0.001 (adim)
#  Equations normalizations constant: 2.55e+01 s
#=================================================================
#=================================================================
#PINN solver parameters
#-----------------------------------------------------------------
#  Number of hidden layers: 16
#  Collocations points within domain: 5000
#  Collocations points boundaries: 1
#  Number of tests points: 300
#  Number of observation points: 40
#  Number of pre iterations for adam 2000
#  Number of iterations for adam 5000
#  loss functions weights : [0.1, 0.001, 1.0, 1.0, 0.01, 0.01]
#=================================================================
#DATA LAYOUT (NUMBER OF POINTS: 40):
#RADIUS DENSITY TEMPERATURE RESIDUAL_N RESIDUAL_T
#-----------------------------------------------------------------
0.01234568 0.9990328 0.9999602 -0.8992331263341329 1.3029535925297215
0.03767015 0.9871999 0.9550103 -1.029940398071833 -0.07122625886282731
0.06299462 0.9693926 0.9090839 -0.9705716244105995 -0.014097951228341458
0.088319086 0.95029706 0.8636367 -0.803950441725646 -0.012873459640055557
0.11364356 0.93110883 0.81915355 -0.747932578067079 0.035329715355330846
0.13896804 0.91198015 0.77555513 -0.700054026819664 -0.0026053926037611177
0.1642925 0.892915 0.7328801 -0.6535260198764502 -0.017531923811243248
0.18961696 0.873916 0.6912526 -0.621539253155199 -0.0038479525572005287
0.21494144 0.85494125 0.65070665 -0.6009269759291918 0.006275482015660032
0.2402659 0.83592314 0.6112181 -0.584662298484216 0.004011753559766873
0.26559037 0.81679416 0.57276344 -0.5690711695159292 -0.002130708523464023
0.29091483 0.7974963 0.5353387 -0.5536694067626482 -0.0037462200817631698
0.31623933 0.7779784 0.4989546 -0.539184476665109 0.0008824092420367719
0.3415638 0.75819075 0.46362543 -0.526244374519485 0.008538229076386301
0.36688825 0.73808014 0.4293623 -0.5149446581825753 0.014800836581081967
0.39221272 0.7175881 0.3961716 -0.5049357708325622 0.016908005139846354
0.41753718 0.69664985 0.3640569 -0.49568506108811455 0.014610319835607897
0.44286168 0.6751943 0.33302227 -0.48670083583889345 0.009705409564923101
0.46818614 0.6531437 0.3030735 -0.4776560384696287 0.004911301658377127
0.4935106 0.63041157 0.27421898 -0.468417931215029 0.0027418821574447068
0.51883507 0.60690194 0.24647021 -0.45899731214214345 0.0046652676712018604
0.54415953 0.5825038 0.21983923 -0.449440363450631 0.010938471796115899
0.569484 0.55708796 0.19433826 -0.43971710233408673 0.02072070459513549
0.59480846 0.5304993 0.16997753 -0.4296001166225485 0.032468555771370346
0.620133 0.50255173 0.14676537 -0.41854762052859734 0.04431467644081826
0.64545745 0.47302023 0.12470681 -0.4055148960147488 0.05426749907183465
0.6707819 0.44163257 0.10380233 -0.3884821653914923 0.06044098174323515
0.6961064 0.40807024 0.08404742 -0.36328964734625313 0.06154974331621494
0.72143084 0.37199074 0.06543398 -0.3214196371207153 0.05830834120353327
0.7467553 0.3331228 0.047960736 -0.24872538703180716 0.05606498799149993
0.77207977 0.29151404 0.031678148 -0.1376074716070853 0.07261842110295041
0.7974042 0.24782686 0.016931405 -0.03558301354732594 0.1790268392697056
0.8227287 0.20273598 0.0055567687 0.0410216080866583 0.478504565785363
0.84805316 0.15701382 0.0008022339 0.2848413824981609 0.5339572220289247
0.8733777 0.114077516 6.8358764e-05 0.2343026480078616 0.4097306121055979
0.89870214 0.075040594 8.285324e-06 0.3433866364816901 0.3053168428385631
0.9240266 0.04394453 3.791597e-06 0.3293985596224826 0.2325907624004034
0.9493511 0.023759106 3.152007e-06 0.23936765239427585 0.19142563970965992
0.97467554 0.0139371995 3.0964056e-06 0.10426465172774978 0.17473947864036266
1.0 0.0094244145 3.2208604e-06 0.04294371629623216 0.16944735719832318
